Type,Path,Class,Fname,xTrain,xCorrect,xWrong,Mean,Var
Train,data/train/Boots-Knee/8030146.3.jpg,Boots-Knee,8030146.3.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7543660.246706.jpg,Boots-Knee,7543660.246706.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8031500.210435.jpg,Boots-Knee,8031500.210435.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8072821.11.jpg,Boots-Knee,8072821.11.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8004653.72.jpg,Boots-Knee,8004653.72.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8028182.10715.jpg,Boots-Knee,8028182.10715.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8016783.307407.jpg,Boots-Knee,8016783.307407.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8052964.231.jpg,Boots-Knee,8052964.231.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7334556.108793.jpg,Boots-Knee,7334556.108793.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7841876.307408.jpg,Boots-Knee,7841876.307408.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8088748.20.jpg,Boots-Knee,8088748.20.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7984356.328.jpg,Boots-Knee,7984356.328.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8045191.325.jpg,Boots-Knee,8045191.325.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8005953.106.jpg,Boots-Knee,8005953.106.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8051901.3.jpg,Boots-Knee,8051901.3.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7999012.29076.jpg,Boots-Knee,7999012.29076.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8016505.308574.jpg,Boots-Knee,8016505.308574.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7793422.106.jpg,Boots-Knee,7793422.106.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7976445.106.jpg,Boots-Knee,7976445.106.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7987317.1137.jpg,Boots-Knee,7987317.1137.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8026526.11414.jpg,Boots-Knee,8026526.11414.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8015439.368167.jpg,Boots-Knee,8015439.368167.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8130587.15932.jpg,Boots-Knee,8130587.15932.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8016783.368695.jpg,Boots-Knee,8016783.368695.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7999476.23246.jpg,Boots-Knee,7999476.23246.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8014972.11.jpg,Boots-Knee,8014972.11.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8037955.375772.jpg,Boots-Knee,8037955.375772.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8007045.365690.jpg,Boots-Knee,8007045.365690.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7599194.574.jpg,Boots-Knee,7599194.574.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7821298.14.jpg,Boots-Knee,7821298.14.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8051919.72.jpg,Boots-Knee,8051919.72.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8041946.18.jpg,Boots-Knee,8041946.18.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8033779.10390.jpg,Boots-Knee,8033779.10390.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8016260.368463.jpg,Boots-Knee,8016260.368463.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8015003.9.jpg,Boots-Knee,8015003.9.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8085109.278.jpg,Boots-Knee,8085109.278.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8015001.1892.jpg,Boots-Knee,8015001.1892.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8026602.72981.jpg,Boots-Knee,8026602.72981.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7970641.364848.jpg,Boots-Knee,7970641.364848.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8015439.368169.jpg,Boots-Knee,8015439.368169.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7671157.108793.jpg,Boots-Knee,7671157.108793.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8056847.3.jpg,Boots-Knee,8056847.3.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8085109.18.jpg,Boots-Knee,8085109.18.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7970322.301559.jpg,Boots-Knee,7970322.301559.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8024628.24543.jpg,Boots-Knee,8024628.24543.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8004719.3.jpg,Boots-Knee,8004719.3.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7889510.72.jpg,Boots-Knee,7889510.72.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8072840.1892.jpg,Boots-Knee,8072840.1892.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8051153.72.jpg,Boots-Knee,8051153.72.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7594577.377140.jpg,Boots-Knee,7594577.377140.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7200733.4748.jpg,Boots-Knee,7200733.4748.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8088748.18.jpg,Boots-Knee,8088748.18.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8050759.328.jpg,Boots-Knee,8050759.328.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7837512.307195.jpg,Boots-Knee,7837512.307195.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/8039209.140878.jpg,Boots-Knee,8039209.140878.jpg,0.0,0.0,0.0,,
Train,data/train/Boots-Knee/7794350.325.jpg,Boots-Knee,7794350.325.jpg,0.0,0.0,0.0,,
